Nid;Name;description;Project country;Funding area
7749;A cure for the medical research-to-market gap;<p>To tighten up the medical value chain, the EU-funded InfectoGnostics Research Campus Jena project brings together science, industry und clinics in Germany’s Thuringia region. The result is more devices for diagnostic testing being brought to market quicker.</p>;DE;Research & innovation
7756;Ring road helps to ease traffic congestion around Prague and reduce travel time;<p>An EU-funded project to construct a 8.34 km section of new four-lane motorway as part of Prague’s ring road, diverts traffic from the Czech Republic’s capital, helping to increase safety and reduce travel time, accidents and pollution.</p>;CZ;Environment & climate
7771;An upgrade to the railways around Prague;<p>Located within the Prague railway network, the 10.27 km stretch of line between Úvaly and Běchovice is a key part of the Trans-European Transport Network and Prague's transport system. The poor condition of facilities such as platforms and information systems, restricted platform access, and long travelling times have necessitated upgrades to the section. This should improve the quality of service for passengers and cut journey times.</p>;CZ;Transport
7775;Robotic innovation gives Croatian neurological surgeons a helping hand;<p>An innovative and commercially competitive robotic system for neurosurgery applications has been developed through an EU-funded project based in Zagreb, Croatia. The new system is composed of a master robot for pre-planned navigation and an assistant robot for handling complex medical instruments, enabling it to perform specific and complex actions that require incredible precision and accuracy.</p>;HR;Research & innovation
7776;MILORDS: a global boost for Tuscany’s imaging and robotics expertise;<p>The MILORDS project aimed to improve the safety and efficacy of medical and surgical procedures by developing cutting edge ultrasound and digital radiology technologies in the Tuscany region of Italy. The advances have the potential to significantly benefit patients across Europe, to help reduce healthcare costs and to boost European technology firms looking to tap into the lucrative global imaging market.</p>;IT;Research & innovation
7856;Three seas - a new production plant for fish products;<p>A modern enterprise for the production of fish products from primarily processed fish was built with a daily capacity of 1 tonne of processed raw material. The processing plant was completed with state-of-the-art technological equipment according to EU requirements on veterinary and sanitary control as well as safety and quality standards. The investment is directed towards semi-preserved fish products – fish fillet and marinated fish - that are sterilised through the process of salting. The production program plan is for 1 000 tonnes of fish fillet and 7 tonnes of marinated fish.</p>;BG;Fisheries and Maritime Affairs
7864;Development of an automatic data recording system for fisheries data;<p>In early 2007, the French Producer Organisation PROMA prepared itself for the mandatory use of electronic reporting systems for fisheries data. The main objective was to assess the feasibility of the development of a centralised electronic system onboard the vessels to report fisheries data, with expected benefits in terms of traceability and marketing strategy of catches. After identifying the needs of actors in the fish processing sector regarding advanced notice of quantities to be landed, and identification of electronic systems available on the market, the operation on the vessels started.</p>;FR;Fisheries and Maritime Affairs
7869;Elimination of the VHS disease in the Danish trout population;<p>In the mid 1960s Viral Haemorrhagic Septicaemia (VHS) was widespread in Danish rainbow trout production. Thanks to an eradication programme, by 1990 more than 90% of the fish farms were free from VHS, and only 2-18 outbreaks per year have appeared since 2000. However, more stringent methods which involved investments beyond the capacity of the industry had to be implemented if a total eradication of VHS was to be obtained. Danish authorities, in collaboration with the Danish aquaculture industry, implemented this EU-funded project, which resulted in the eradication of the VHS disease.</p>;DK;Fisheries and Maritime Affairs
7884;Eberlin apiary keeps growing;<p>At 27 years of age with a masters in new media, Krists Ēberliņš seems an unlikely beekeeper. But for 5 years he has been running the family apiary in Nīgrande, Latvia. Equipment bought with EU support has enabled the apiary to grow from 1 to 350 bee colonies, create new products and build up exports. The family are now considering modernising production facilities and hiring more staff.</p>;LV;Business
8080;Telematics in surgery improves healthcare in Cantabria;<p>Two remote-operated ‘Da Vinci’ robots, acquired with the financial support of the EU, have reduced patients’ post-surgery complications in Spain’s Cantabria region, and improved healthcare and competitiveness in the sector.</p>;ES;Research & innovation
8085;Estonians take to the rails with modern, new passenger trains in Tallinn;<p>To improve the comfort, speed and frequency of train journeys in Tallinn, an EU-funded project replaced 40-year-old electric trains that had reached the end of their usefulness with modern, efficient models. As a result, more and more Estonians are opting to take the train over using a car or bus – benefiting the economy and the environment.</p>;EE;Transport
8112;A hub for innovative plastic technology in the Netherlands’ Drenthe region;<p>To boost the development of a sustainable plastics and bio-based economy in the Netherlands’ Drenthe region and surrounding areas, the Stenden Polymore Research & Education (Stenden PRE) project brought together academics, businesses and the public sector to create a specialised knowledge and business hub.</p>;NL;Environment & climate
8143;A sonorous amber concert hall;<p>The idea of building a world class concert hall first occurred to Liepaja’s authorities in the late-19th century. Yet it only came to fruition in November 2015 when Great Amber opened. Great Amber is Latvia’s third and largest acoustic concert hall, with a capacity of 1,320, and the first in the Kurzeme region. Construction took 2 years and the building opened with a series of concerts.</p>;LV;Education & training
8144;New bio-products from crop oil;<p>First2Run is a territorial regeneration project. It aims to create jobs in agriculture and industry, and offer new, sustainable products made from crop oil sourced near the bio-refinery in Sardinia. Oils are converted via chemical processes into plastics, lubricants, cosmetics and plasticisers. Integration of all phases, from crop cultivation to product synthesis, benefits the economy, the environment and the region.</p>;IT;Business
8147;A textile revolution;<p>Textile production in the Hauts-de-France region has suffered from de-industrialisation. Tourcoing wanted to use its proud past to develop the textiles of tomorrow. The city’s European Centre for Innovative Textiles (CETI) brings together laboratories and companies to work on this. The EU provided €5 million to support the work of this unique centre.</p>;FR;Research & innovation
8280;Bio-based booster shot for north-west Europe;<p>The transition to a sustainable, bio-based economy is one of the major challenges facing Europe today. Thanks to the right balance of financial, technological and political support, north-west Europe is shaping up as the go-to hub for bio-based business development. And SMEs are the biggest beneficiary of the efforts of the EU-funded Bio Base NWE project.  </p>;BE;Research & innovation
8287;Mentoring Spanish entrepreneurs across borders;<p>As the EU emerges from the financial crisis, unemployment remains high in countries such as Spain. To create jobs and foster successful entrepreneurship there, the EU-funded European Coworkings EOI Programme is funding the education and training of Spanish entrepreneurs in other Member States. Once the course is over, the qualified entrepreneurs will return home to put their new skills into practice, thereby creating jobs and growth locally.</p>;ES;Business
8290;Unique partnership for 3D printing in Tampere region, Finland;<p>Building on Finland’s reputation as a technology leader, diverse educational facilities in the Tampere region banded together in an EU-funded project to form a unique network offering expertise, services, tools and machine-time in the promising and exciting field of 3D ‘additive’ printing.</p>;FI;Education & training
8314;Finnish company gets global boost with smart plastics technology;<p>TactoTek is a manufacturer of in-mould structural electronics based in Oulu, a technology hub in Northern Finland. By combining in-mould printed electronics and components into plastics, its founders created a new way to mass produce structural electronic devices, or parts of devices using well-known production technologies. This enables the mass production of 3D structural electronics with existing machinery. EU funding provided the additional financial support needed for TactoTek to move from a successful start-up business to become a global supplier.</p>;FI;Research & innovation
8317;Sea-water-powered heating system sets sustainable example in Marseille;<p>The pilot eco-district of Îlot Allar, in Marseille, France, is testing an innovative thermal smart grid – powered by 75% renewable energy – to deliver both heat and air-conditioning to buildings in the area. The secret of this innovative EU-funded smart grid? It captures energy from the sea surrounding the port of Marseille.</p>;FR;Environment & climate
8323;Synergetic Social System;<p>In the context of the global financial crisis, Croatian and EU policy-makers assessed that the Croatian social protection system needed to be improved so that it would become more efficient. This project was part of a broad national effort to reform Croatia’s social protection system to reach the above-mentioned result. Specifically, the project aimed to create a strategy for a cost-effective social protection system in Croatia, with the goal to avoid overlaps in social assistance benefits on national and local levels.</p>;HR;Business
